epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6351,0.89275,4.37033,1.10421,0.35476,0.44542,0.33539,0.27948,0.67846,1.86182,1.00663,8.10299e-05,8.10299e-05,8.10299e-05
2,88.9184,0.81804,2.21736,1.07048,0.58998,0.57492,0.56047,0.46446,0.64059,1.24097,1.0294,0.000159148,0.000159148,0.000159148
3,133.85,0.81332,1.68599,1.06836,0.65982,0.65026,0.68959,0.56763,0.64787,1.02814,1.02107,0.000234046,0.000234046,0.000234046
4,179.074,0.76842,1.35123,1.04891,0.65098,0.74375,0.72009,0.5966,0.64265,0.89982,1.02171,0.000229506,0.000229506,0.000229506
5,224.666,0.75449,1.21407,1.04949,0.74208,0.7441,0.79382,0.66778,0.61987,0.80452,1.01445,0.000224675,0.000224675,0.000224675
6,270.604,0.72522,1.10232,1.0335,0.74237,0.81401,0.81953,0.69161,0.59587,0.71256,1.0023,0.000219844,0.000219844,0.000219844
7,316.65,0.71967,1.01996,1.02761,0.76381,0.7859,0.81122,0.68705,0.58298,0.71166,0.9889,0.000215013,0.000215013,0.000215013
8,362.801,0.70372,0.96029,1.01625,0.79005,0.78805,0.83043,0.70094,0.5942,0.67289,0.97991,0.000210182,0.000210182,0.000210182
9,409.276,0.67877,0.91621,1.00532,0.7792,0.87123,0.85938,0.74349,0.54213,0.60721,0.95681,0.00020535,0.00020535,0.00020535
10,455.619,0.68078,0.88893,1.00489,0.78576,0.88061,0.86542,0.7391,0.56323,0.60173,0.9658,0.000200519,0.000200519,0.000200519
11,501.77,0.6732,0.83809,0.99891,0.77733,0.89969,0.85246,0.7352,0.54306,0.58674,0.95446,0.000195688,0.000195688,0.000195688
12,547.779,0.6579,0.82876,0.99202,0.79574,0.87165,0.87166,0.74718,0.54947,0.58121,0.95084,0.000190857,0.000190857,0.000190857
13,593.787,0.64382,0.78002,0.9875,0.80823,0.8967,0.88034,0.75398,0.54687,0.55547,0.963,0.000186026,0.000186026,0.000186026
14,639.78,0.64238,0.77177,0.98713,0.84165,0.8932,0.90155,0.7677,0.55863,0.54854,0.95643,0.000181194,0.000181194,0.000181194
15,686.016,0.63491,0.75324,0.98117,0.80162,0.92046,0.89776,0.77305,0.53371,0.53202,0.94174,0.000176363,0.000176363,0.000176363
16,732.713,0.62131,0.74113,0.97239,0.80587,0.90809,0.89158,0.77156,0.533,0.53242,0.94542,0.000171532,0.000171532,0.000171532
17,779.29,0.637,0.7528,0.98326,0.84723,0.89466,0.90829,0.78481,0.52334,0.50762,0.94458,0.000166701,0.000166701,0.000166701
18,825.926,0.61207,0.72381,0.96678,0.79718,0.93522,0.89977,0.77521,0.53539,0.54774,0.94719,0.00016187,0.00016187,0.00016187
19,872.566,0.60907,0.71117,0.96978,0.78546,0.92923,0.89793,0.77112,0.52073,0.53003,0.9391,0.000157038,0.000157038,0.000157038
20,918.506,0.6046,0.68997,0.96358,0.81477,0.90136,0.89318,0.77518,0.5122,0.50596,0.94597,0.000152207,0.000152207,0.000152207
21,964.252,0.60048,0.69424,0.95958,0.81472,0.88628,0.87842,0.76609,0.52374,0.50792,0.94269,0.000147376,0.000147376,0.000147376
22,1009.98,0.59756,0.67379,0.96295,0.81045,0.91052,0.8883,0.7749,0.51702,0.49772,0.93915,0.000142545,0.000142545,0.000142545
23,1055.69,0.59065,0.66941,0.95824,0.8331,0.89358,0.89894,0.78299,0.51233,0.48746,0.94306,0.000137714,0.000137714,0.000137714
24,1101.43,0.58495,0.64893,0.95842,0.83531,0.93666,0.90977,0.78555,0.52026,0.48685,0.94425,0.000132882,0.000132882,0.000132882
25,1147.2,0.57458,0.64877,0.95861,0.81875,0.92132,0.8963,0.78041,0.50394,0.48889,0.92978,0.000128051,0.000128051,0.000128051
26,1192.91,0.57565,0.63417,0.95292,0.81243,0.91238,0.8958,0.78083,0.50794,0.48809,0.93276,0.00012322,0.00012322,0.00012322
